594,32,1
19.27,0.1666,0.008207,167.2,0.002396,0.08498,0.03136,40.22,15.18,282.8,0.0001033,628.4,602.1,453.3,56.05,1.24,28.75,0.2047,0.007696,1580.0,0.006397,0.2723,0.5777,75.58,213.0,2018.0,0.009186,1181.0,898.6,316.6,88.14,-3.687,0
7.539,0.06437,0.0118,184.2,0.002804,0.09419,0.03332,17.39,0.0,49.76,9.53e-05,271.7,235.6,238.3,28.87,1.278,10.84,0.06394,0.007154,1592.0,0.005983,0.2237,0.5969,31.67,125.0,1344.0,0.009871,494.9,338.8,234.6,35.06,-3.614,0
26.41,0.212,0.009045,185.7,0.002983,0.1022,0.03409,50.89,4.269e-13,89.13,0.0001203,795.2,825.4,696.7,60.32,1.252,19.59,0.1307,0.007116,1555.0,0.006541,0.2633,0.4614,58.92,220.6,1932.0,0.009346,920.7,612.2,228.6,37.71,-3.245,0
11.88,0.1306,0.001866,185.0,0.001132,0.04594,0.02933,27.26,45.06,18.73,8.091e-05,426.0,371.3,199.7,43.27,1.35,19.29,0.1292,0.001296,1628.0,0.003172,0.1327,0.5532,57.08,149.4,468.2,0.009228,891.9,602.9,243.0,65.78,-4.38,0
12.56,0.1251,0.002387,156.7,0.001084,0.04094,0.02662,27.17,26.03,43.97,6.412e-05,424.5,392.4,433.6,56.83,1.355,33.2,0.2409,0.002943,1570.0,0.003849,0.1724,0.5046,88.11,204.1,804.3,0.009082,1377.0,1038.0,519.7,127.5,-4.073,0
12.19,0.1273,0.01035,226.0,0.002374,0.0851,0.0696,30.29,5.692e-14,125.0,8.012e-05,473.3,380.8,393.0,45.71,1.534,20.86,0.1437,0.006098,1672.0,0.006079,0.2488,0.6137,60.65,197.4,1637.0,0.009467,947.7,651.7,310.1,66.53,-3.941,0
13.59,0.1424,0.01018,158.5,0.00228,0.0745,0.05247,26.98,4.269e-13,54.95,5.569e-05,421.6,424.6,470.2,64.35,1.387,30.74,0.2422,0.008891,1572.0,0.007039,0.311,0.6053,88.44,220.6,2528.0,0.009251,1382.0,960.8,313.7,100.6,-3.673,0
12.47,0.1466,0.006408,179.4,0.001835,0.06042,0.03384,30.37,6.318,25.19,3.857e-05,474.5,389.7,264.4,48.87,1.394,22.24,0.1672,0.005877,1562.0,0.005938,0.2498,0.6372,71.92,186.6,1656.0,0.009139,1124.0,694.9,222.3,67.53,-3.747,0
19.23,0.2012,0.007715,184.2,0.002009,0.0664,0.06362,40.84,6.546e-13,108.9,0.000118,638.2,601.0,379.8,74.61,1.512,35.6,0.3031,0.005694,1595.0,0.005256,0.2349,0.6421,102.1,178.6,1403.0,0.009319,1595.0,1113.0,283.0,111.7,-3.932,0
16.29,0.1912,0.006014,169.9,0.001856,0.06403,0.0483,35.19,17.82,22.16,5.386e-05,549.9,509.2,405.9,63.85,1.381,30.71,0.2438,0.006204,1557.0,0.005277,0.2286,0.6154,89.07,191.9,1366.0,0.009092,1392.0,959.6,360.8,99.83,-3.663,0
